#timestamp [ns], temperature [degC], w_RS_S_x [rad s^-1], w_RS_S_y [rad s^-1], w_RS_S_z [rad s^-1], a_RS_S_x [m s^-2], a_RS_S_y [m s^-2], a_RS_S_z [m s^-2]
1891010287521875, 0, -0.6573925, -0.9149750, 0.7719151, -2.0029848, 14.4844794, 5.3486774
1891010297483875, 0, -0.2074352, -1.4874966, 0.6977887, -1.9672092, 13.9036871, 2.8122020
1891010307446875, 0, -0.2765336, -1.8455783, 0.7297623, -2.0739372, 13.6992123, -2.3049069
1891010317408875, 0, -0.3004948, -1.8781099, 0.8789241, -2.5032445, 13.0295050, -3.0701157
1891010327370875, 0, -0.1467657, -1.8127261, 1.1233685, -3.0602362, 12.2695354, 1.3588742
1891010337332875, 0, -0.2404688, -1.8035105, 1.2582482, -2.2830524, 12.0354222, -0.4314029
1891010347294875, 0, -0.2655510, -1.7286052, 1.2876158, -0.9383986, 12.4502097, -1.7455202
1891010357256875, 0, -0.1539576, -1.7245673, 1.2005693, 0.1502875, 12.6939029, 0.1664539
1891010367219875, 0, -0.0242089, -1.8229316, 1.0095266, 1.0307565, 12.5178690, -0.5447173
1891010377181875, 0, 0.1082655, -1.8052373, 0.8651342, 0.7667056, 12.1066740, -0.0943039
1891010387143875, 0, 0.1671123, -1.6806093, 0.8088654, -0.2680925, 11.3178145, 0.3637436
1891010397105875, 0, 0.2152047, -1.5404472, 0.8720872, -1.5277231, 10.3041225, -0.0140707
1891010407068875, 0, 0.2733849, -1.3868446, 0.9657940, -2.1742287, 9.5356206, 0.1625620
1891010417030875, 0, 0.3642810, -1.3596615, 1.0809928, -2.1844075, 9.1545131, -0.1058299
1891010426992875, 0, 0.5495686, -1.4113958, 1.1245496, -1.9293379, 9.0889494, 0.0835263
1891010436954875, 0, 0.8043865, -1.5114787, 1.0361267, -0.9550140, 9.5755875, 0.4516109
1891010446916875, 0, 1.0689987, -1.6986866, 1.0057137, -0.5828879, 9.4871214, 0.0052391
1891010456878875, 0, 1.2751602, -1.8523191, 1.0490098, -0.9957294, 9.0540720, -0.0932561
1891010466841875, 0, 1.3536962, -1.9196388, 1.0631171, -0.9626482, 8.8010980, -0.4233197
1891010476803875, 0, 1.3074017, -1.8279778, 1.0076283, -0.4695735, 8.3198488, -0.7144643
1891010486765875, 0, 1.2063280, -1.5644822, 0.9560349, -0.3237767, 7.3152878, -0.3954776
1891010496727875, 0, 1.0253793, -1.2918321, 0.9915255, -0.8783734, 6.2078906, -0.6776408
